incident_day_of_week,police_district,time_period,if_crime
Monday,Out of SF,Night,0
Wednesday,Mission,Late Night,1
Monday,Out of SF,Afternoon,0
Monday,Out of SF,Morning,0
Tuesday,Out of SF,Evening,0
Wednesday,Mission,Late Night,1
Saturday,Central,Afternoon,1
Monday,Central,Morning,1
Saturday,Central,Afternoon,1
Saturday,Park,Afternoon,1
Monday,Central,Morning,1
Thursday,Out of SF,Morning,1
Thursday,Bayview,Afternoon,1
Tuesday,Out of SF,Afternoon,0
Thursday,Out of SF,Afternoon,0
Thursday,Richmond,Night,1
Monday,Central,Morning,1
Saturday,Central,Afternoon,1
Thursday,Out of SF,Evening,0
Wednesday,Southern,Morning,1
Thursday,Central,Evening,1
Friday,Out of SF,Morning,1
Tuesday,Central,Afternoon,0
Thursday,Southern,Morning,1
Friday,Central,Afternoon,1
Saturday,Out of SF,Evening,0
Tuesday,Richmond,Afternoon,1
Saturday,Out of SF,Night,0
Monday,Out of SF,Morning,0
Thursday,Northern,Afternoon,1
Thursday,Mission,Afternoon,0
Tuesday,Northern,Afternoon,0
Saturday,Mission,Night,1
Monday,Out of SF,Evening,0
Sunday,Out of SF,Morning,0
Saturday,Southern,Evening,1
Monday,Out of SF,Afternoon,1
Sunday,Out of SF,Night,0
Sunday,Central,Morning,1
Tuesday,Out of SF,Late Night,0
Thursday,Out of SF,Afternoon,0
Tuesday,Out of SF,Afternoon,0
Thursday,Mission,Morning,0
Saturday,Northern,Night,1
Tuesday,Out of SF,Morning,0
Thursday,Richmond,Afternoon,0
Saturday,Northern,Afternoon,1
Sunday,Mission,Late Night,0
Wednesday,Mission,Afternoon,1
Wednesday,Out of SF,Afternoon,0
Sunday,Southern,Evening,1
Friday,Out of SF,Afternoon,0
Thursday,Out of SF,Morning,0
Monday,Southern,Night,1
Friday,Taraval,Morning,1
Friday,Richmond,Afternoon,0
Thursday,Taraval,Morning,0
Tuesday,Mission,Evening,0
Thursday,Northern,Afternoon,1
Thursday,Taraval,Morning,1
Thursday,Tenderloin,Afternoon,1
Wednesday,Out of SF,Afternoon,0
Tuesday,Northern,Evening,0
Wednesday,Tenderloin,Afternoon,1
Tuesday,Central,Night,1
Saturday,Tenderloin,Late Night,1
Wednesday,Tenderloin,Evening,1
Thursday,Southern,Morning,1
Wednesday,Tenderloin,Night,1
Wednesday,Bayview,Afternoon,1
Tuesday,Out of SF,Night,0
Thursday,Ingleside,Morning,1
Thursday,Richmond,Night,1
Saturday,Northern,Evening,1
Thursday,Central,Evening,1
Friday,Northern,Morning,1
Friday,Northern,Afternoon,1
Thursday,Ingleside,Evening,0
Friday,Southern,Morning,1
Friday,Taraval,Afternoon,0
Friday,Tenderloin,Late Night,0
Friday,Tenderloin,Late Night,1
Friday,Bayview,Afternoon,0
Friday,Tenderloin,Afternoon,1
Tuesday,Ingleside,Night,1
Monday,Park,Afternoon,0
Thursday,Southern,Night,1
Friday,Central,Late Night,0
Thursday,Central,Evening,1
Friday,Taraval,Afternoon,1
Thursday,Northern,Afternoon,0
Friday,Ingleside,Afternoon,0
Thursday,Southern,Afternoon,0
Wednesday,Bayview,Night,1
Friday,Mission,Evening,1
Saturday,Southern,Night,1
Friday,Northern,Morning,1
Monday,Northern,Afternoon,1
Monday,Tenderloin,Night,1
Sunday,Central,Late Night,1
Sunday,Bayview,Morning,1
Friday,Bayview,Morning,0
Friday,Richmond,Afternoon,1
Friday,Central,Evening,1
Friday,Tenderloin,Late Night,0
Thursday,Southern,Morning,0
Friday,Tenderloin,Night,1
Friday,Tenderloin,Late Night,0
Wednesday,Tenderloin,Afternoon,1
Friday,Ingleside,Night,1
Friday,Northern,Morning,1
Friday,Southern,Late Night,1
Friday,Mission,Afternoon,0
Friday,Tenderloin,Morning,1
Sunday,Central,Afternoon,1
Thursday,Southern,Night,0
Friday,Tenderloin,Afternoon,1
Friday,Tenderloin,Afternoon,0
Saturday,Park,Evening,0
Monday,Bayview,Night,0
Monday,Southern,Night,0
Wednesday,Taraval,Afternoon,1
Monday,Bayview,Night,1
Wednesday,Ingleside,Evening,1
Wednesday,Central,Evening,1
Friday,Mission,Morning,0
Friday,Northern,Late Night,1
Friday,Bayview,Morning,1
Sunday,Mission,Afternoon,1
Thursday,Southern,Night,1
Friday,Bayview,Afternoon,0
Friday,Northern,Evening,1
Friday,Ingleside,Afternoon,1
Friday,Park,Late Night,1
Sunday,Richmond,Afternoon,0
Friday,Mission,Afternoon,0
Friday,Richmond,Morning,0
Friday,Northern,Morning,1
Thursday,Park,Morning,1
Monday,Central,Morning,1
Friday,Southern,Evening,0
Friday,Tenderloin,Afternoon,1
Friday,Richmond,Morning,0
Thursday,Taraval,Morning,1
Friday,Central,Afternoon,1
Friday,Tenderloin,Late Night,0
Thursday,Southern,Morning,1
Friday,Tenderloin,Afternoon,1
Thursday,Taraval,Afternoon,0
Saturday,Southern,Afternoon,1
Friday,Mission,Afternoon,1
Saturday,Park,Afternoon,0
Friday,Tenderloin,Late Night,0
Thursday,Mission,Night,1
Thursday,Northern,Night,1
Sunday,Central,Late Night,1
Friday,Mission,Afternoon,0
Friday,Northern,Morning,1
Thursday,Mission,Evening,1
Friday,Northern,Evening,1
Thursday,Bayview,Night,1
Monday,Ingleside,Evening,1
Tuesday,Richmond,Morning,1
Thursday,Mission,Afternoon,1
Wednesday,Northern,Evening,0
Thursday,Tenderloin,Afternoon,1
Thursday,Southern,Afternoon,1
Saturday,Southern,Afternoon,1
Wednesday,Bayview,Evening,1
Tuesday,Taraval,Evening,1
Thursday,Central,Late Night,0
Thursday,Northern,Night,1
Wednesday,Central,Afternoon,1
Wednesday,Central,Morning,1
Thursday,Bayview,Morning,1
Saturday,Mission,Late Night,0
Wednesday,Bayview,Evening,1
Thursday,Northern,Evening,0
Friday,Central,Morning,1
Saturday,Southern,Night,1
Monday,Tenderloin,Morning,1
Thursday,Bayview,Night,1
Thursday,Bayview,Evening,1
Sunday,Bayview,Evening,1
Sunday,Southern,Evening,1
Monday,Mission,Evening,1
Sunday,Taraval,Night,1
Thursday,Out of SF,Evening,0
Monday,Central,Late Night,1
Thursday,Southern,Afternoon,0
Wednesday,Central,Afternoon,1
Monday,Mission,Night,1
Wednesday,Mission,Night,1
Tuesday,Central,Evening,1
Wednesday,Taraval,Night,1
Saturday,Park,Afternoon,1
Thursday,Taraval,Night,1
Tuesday,Mission,Morning,1
Monday,Taraval,Evening,1
Thursday,Central,Evening,1
Saturday,Bayview,Late Night,1
Wednesday,Mission,Afternoon,1
Thursday,Southern,Late Night,1
Thursday,Bayview,Morning,1
Thursday,Mission,Night,1
Wednesday,Mission,Morning,1
Thursday,Mission,Afternoon,0
Wednesday,Ingleside,Afternoon,1
Tuesday,Southern,Afternoon,1
Thursday,Mission,Afternoon,0
Thursday,Bayview,Afternoon,0
Thursday,Tenderloin,Late Night,0
Friday,Central,Afternoon,1
Thursday,Central,Late Night,0
Tuesday,Bayview,Afternoon,1
Friday,Taraval,Morning,1
Tuesday,Northern,Morning,1
Wednesday,Mission,Afternoon,0
Thursday,Ingleside,Afternoon,1
Wednesday,Northern,Afternoon,1
Thursday,Ingleside,Evening,0
Wednesday,Taraval,Afternoon,1
Monday,Taraval,Evening,1
Thursday,Southern,Evening,1
Thursday,Central,Night,1
Wednesday,Bayview,Evening,1
Thursday,Ingleside,Morning,0
Wednesday,Tenderloin,Morning,1
Wednesday,Southern,Night,1
Tuesday,Mission,Evening,1
Thursday,Richmond,Afternoon,1
Wednesday,Ingleside,Afternoon,1
Wednesday,Ingleside,Late Night,0
Thursday,Richmond,Morning,1
Thursday,Richmond,Evening,1
Wednesday,Mission,Late Night,1
Monday,Mission,Evening,1
Wednesday,Ingleside,Afternoon,1
Tuesday,Mission,Night,1
Wednesday,Taraval,Afternoon,1
Thursday,Out of SF,Afternoon,0
Sunday,Mission,Night,1
Thursday,Taraval,Afternoon,0
Thursday,Northern,Morning,1
Thursday,Tenderloin,Morning,0
Thursday,Tenderloin,Late Night,1
Monday,Northern,Afternoon,0
Wednesday,Central,Afternoon,1
Thursday,Bayview,Afternoon,1
Thursday,Tenderloin,Afternoon,1
Thursday,Richmond,Morning,1
Thursday,Bayview,Afternoon,0
Friday,Richmond,Evening,1
Thursday,Mission,Evening,0
Monday,Bayview,Afternoon,1
Monday,Taraval,Afternoon,1
Friday,Bayview,Late Night,1
Saturday,Central,Morning,1
Thursday,Central,Afternoon,0
Thursday,Bayview,Afternoon,1
Wednesday,Northern,Afternoon,0
Thursday,Northern,Evening,1
Monday,Southern,Morning,1
Tuesday,Central,Morning,1
Wednesday,Ingleside,Evening,1
Tuesday,Taraval,Evening,1
Thursday,Ingleside,Morning,0
Sunday,Southern,Evening,1
Friday,Southern,Afternoon,1
Thursday,Taraval,Afternoon,0
Thursday,Taraval,Morning,1
Thursday,Tenderloin,Late Night,1
Thursday,Bayview,Morning,0
Thursday,Mission,Morning,1
Tuesday,Taraval,Morning,1
Friday,Mission,Afternoon,0
Wednesday,Ingleside,Night,1
Wednesday,Mission,Morning,1
Tuesday,Taraval,Late Night,1
Thursday,Tenderloin,Evening,1
Thursday,Bayview,Morning,1
Thursday,Tenderloin,Afternoon,1
Thursday,Tenderloin,Late Night,0
Thursday,Richmond,Afternoon,0
Wednesday,Tenderloin,Evening,0
Tuesday,Richmond,Late Night,1
Thursday,Mission,Late Night,1
Thursday,Central,Afternoon,0
Sunday,Park,Night,1
Saturday,Richmond,Afternoon,1
Wednesday,Bayview,Evening,1
Thursday,Bayview,Morning,0
Tuesday,Northern,Morning,1
Wednesday,Bayview,Evening,1
Tuesday,Richmond,Evening,1
Wednesday,Park,Afternoon,1
Thursday,Tenderloin,Evening,0
Thursday,Ingleside,Late Night,0
Thursday,Northern,Morning,1
Thursday,Tenderloin,Evening,1
Thursday,Southern,Morning,1
Monday,Taraval,Morning,1
Saturday,Mission,Night,1
Saturday,Taraval,Morning,1
Thursday,Southern,Late Night,1
Saturday,Bayview,Afternoon,1
Thursday,Out of SF,Night,0
Thursday,Taraval,Morning,0
Tuesday,Park,Morning,0
Thursday,Central,Evening,0
Thursday,Bayview,Morning,1
Thursday,Central,Late Night,1
