incident_day_of_week,police_district,time_period,if_crime
Monday,Out of SF,Night,0
Wednesday,Mission,Late Night,1
Monday,Out of SF,Afternoon,0
Monday,Out of SF,Morning,0
Tuesday,Out of SF,Evening,0
Wednesday,Mission,Late Night,1
Saturday,Central,Afternoon,1
Monday,Central,Morning,1
Saturday,Central,Afternoon,1
Saturday,Park,Afternoon,1
Monday,Central,Morning,1
Monday,Central,Morning,0
Thursday,Out of SF,Morning,1
Thursday,Bayview,Afternoon,1
Tuesday,Out of SF,Afternoon,0
Thursday,Out of SF,Afternoon,0
Thursday,Richmond,Night,1
Monday,Central,Morning,1
Saturday,Central,Afternoon,1
Thursday,Out of SF,Evening,0
Wednesday,Southern,Morning,1
Thursday,Central,Evening,1
Friday,Out of SF,Morning,1
Tuesday,Central,Afternoon,0
Thursday,Southern,Morning,1
Sunday,Out of SF,Afternoon,0
Friday,Central,Afternoon,1
Saturday,Out of SF,Evening,0
Tuesday,Richmond,Afternoon,1
Saturday,Out of SF,Night,0
Monday,Out of SF,Morning,0
Thursday,Northern,Afternoon,1
Thursday,Mission,Afternoon,0
Tuesday,Northern,Afternoon,0
Saturday,Mission,Night,1
Monday,Out of SF,Morning,0
Sunday,Out of SF,Afternoon,0
Friday,Taraval,Morning,0
Monday,Out of SF,Evening,0
Tuesday,Central,Afternoon,1
Friday,Southern,Afternoon,0
Thursday,Tenderloin,Afternoon,0
Wednesday,Out of SF,Afternoon,0
Friday,Out of SF,Morning,0
Tuesday,Central,Evening,0
Monday,Central,Morning,0
Wednesday,Mission,Evening,0
Wednesday,Park,Morning,1
Tuesday,Out of SF,Evening,0
Wednesday,Out of SF,Afternoon,0
Friday,Central,Afternoon,0
Wednesday,Out of SF,Afternoon,1
Monday,Out of SF,Evening,1
Tuesday,Out of SF,Evening,0
Wednesday,Richmond,Afternoon,1
Tuesday,Out of SF,Afternoon,0
Tuesday,Out of SF,Afternoon,0
Sunday,Out of SF,Late Night,0
Wednesday,Out of SF,Night,1
Saturday,Central,Afternoon,1
Sunday,Richmond,Night,1
Sunday,Northern,Morning,0
Tuesday,Southern,Evening,0
Saturday,Richmond,Morning,1
Thursday,Out of SF,Morning,0
Saturday,Richmond,Late Night,1
Saturday,Richmond,Morning,0
Tuesday,Southern,Evening,1
Monday,Out of SF,Evening,0
Wednesday,Out of SF,Afternoon,0
Wednesday,Mission,Night,1
Friday,Out of SF,Afternoon,0
Thursday,Out of SF,Evening,0
Saturday,Out of SF,Morning,0
Thursday,Out of SF,Morning,0
Monday,Richmond,Night,1
Tuesday,Out of SF,Night,0
Tuesday,Out of SF,Afternoon,0
Saturday,Richmond,Afternoon,1
Saturday,Out of SF,Late Night,0
Tuesday,Richmond,Afternoon,1
Sunday,Park,Night,1
Wednesday,Central,Morning,1
Wednesday,Out of SF,Afternoon,1
Wednesday,Out of SF,Night,0
Thursday,Mission,Evening,1
Monday,Out of SF,Afternoon,0
Saturday,Bayview,Night,1
Friday,Out of SF,Morning,1
Friday,Out of SF,Morning,0
Thursday,Central,Late Night,1
Friday,Out of SF,Evening,0
Friday,Mission,Morning,0
Sunday,Out of SF,Morning,0
Wednesday,Central,Evening,1
Thursday,Out of SF,Afternoon,0
Tuesday,Park,Afternoon,0
Thursday,Out of SF,Afternoon,0
Friday,Central,Night,0
Friday,Out of SF,Afternoon,0
Friday,Out of SF,Evening,0
Tuesday,Bayview,Late Night,1
Wednesday,Mission,Afternoon,1
Wednesday,Park,Morning,0
Monday,Park,Afternoon,1
Thursday,Northern,Afternoon,1
Sunday,Mission,Morning,1
Sunday,Central,Morning,0
Thursday,Southern,Afternoon,1
Saturday,Mission,Afternoon,0
Thursday,Southern,Night,1
Sunday,Richmond,Evening,1
Saturday,Southern,Evening,1
Monday,Out of SF,Evening,0
Monday,Out of SF,Morning,0
Sunday,Out of SF,Afternoon,1
Tuesday,Park,Evening,1
Tuesday,Out of SF,Night,0
Friday,Richmond,Afternoon,1
Friday,Out of SF,Late Night,0
Monday,Out of SF,Afternoon,0
Thursday,Out of SF,Night,1
Wednesday,Out of SF,Afternoon,0
Tuesday,Southern,Morning,1
Saturday,Southern,Evening,1
Wednesday,Southern,Night,1
Monday,Out of SF,Night,0
Tuesday,Southern,Night,1
Saturday,Out of SF,Morning,0
Wednesday,Out of SF,Night,0
Wednesday,Central,Morning,0
Wednesday,Southern,Late Night,1
Monday,Out of SF,Evening,0
Tuesday,Park,Morning,0
Sunday,Taraval,Evening,0
Wednesday,Taraval,Night,1
Monday,Southern,Evening,1
Monday,Central,Morning,1
Friday,Taraval,Morning,0
Friday,Central,Evening,1
Friday,Out of SF,Morning,1
Thursday,Out of SF,Late Night,0
Saturday,Out of SF,Morning,0
Sunday,Tenderloin,Night,0
Wednesday,Park,Afternoon,0
Tuesday,Out of SF,Morning,0
Wednesday,Out of SF,Morning,0
Wednesday,Ingleside,Morning,1
Saturday,Out of SF,Night,0
Wednesday,Bayview,Afternoon,1
Monday,Out of SF,Afternoon,0
Wednesday,Ingleside,Afternoon,0
Saturday,Central,Night,1
Thursday,Out of SF,Afternoon,0
Tuesday,Bayview,Afternoon,1
Monday,Central,Night,1
Sunday,Out of SF,Morning,0
Wednesday,Taraval,Afternoon,1
Wednesday,Out of SF,Afternoon,0
Friday,Out of SF,Afternoon,0
Friday,Southern,Late Night,1
Thursday,Northern,Afternoon,1
Thursday,Out of SF,Evening,0
Monday,Park,Late Night,1
Monday,Ingleside,Evening,1
Tuesday,Out of SF,Evening,0
Friday,Out of SF,Afternoon,0
Tuesday,Out of SF,Afternoon,0
Saturday,Richmond,Afternoon,0
Sunday,Out of SF,Morning,0
Friday,Park,Night,1
Thursday,Central,Morning,1
Friday,Out of SF,Afternoon,0
Wednesday,Southern,Morning,0
Wednesday,Out of SF,Evening,0
Friday,Bayview,Evening,0
Saturday,Southern,Late Night,0
Sunday,Richmond,Afternoon,0
Wednesday,Southern,Evening,1
Friday,Out of SF,Morning,0
Thursday,Northern,Evening,1
Saturday,Taraval,Late Night,1
Tuesday,Southern,Afternoon,0
Friday,Out of SF,Morning,0
Sunday,Southern,Morning,0
Wednesday,Out of SF,Night,0
Thursday,Southern,Evening,1
Thursday,Out of SF,Night,0
Saturday,Southern,Night,1
Tuesday,Taraval,Afternoon,0
Wednesday,Out of SF,Morning,0
Monday,Southern,Evening,1
Thursday,Mission,Afternoon,1
Saturday,Northern,Evening,1
Thursday,Out of SF,Evening,0
Tuesday,Central,Evening,0
Saturday,Out of SF,Morning,0
Thursday,Richmond,Afternoon,1
Wednesday,Out of SF,Morning,0
Saturday,Park,Afternoon,1
Monday,Richmond,Morning,1
Sunday,Mission,Late Night,1
Monday,Central,Morning,1
Friday,Out of SF,Morning,0
Sunday,Central,Afternoon,0
Wednesday,Out of SF,Night,1
Friday,Park,Morning,1
Saturday,Central,Evening,1
Thursday,Out of SF,Late Night,0
Tuesday,Out of SF,Afternoon,0
Monday,Out of SF,Night,1
Saturday,Central,Morning,1
Monday,Out of SF,Night,0
Monday,Out of SF,Afternoon,0
Saturday,Northern,Morning,0
Thursday,Southern,Evening,0
Sunday,Out of SF,Afternoon,0
Tuesday,Central,Afternoon,1
Wednesday,Park,Afternoon,1
Thursday,Richmond,Evening,1
Monday,Mission,Evening,0
Wednesday,Mission,Morning,1
Thursday,Out of SF,Late Night,0
Friday,Central,Evening,1
Saturday,Central,Night,1
Friday,Central,Afternoon,1
Monday,Out of SF,Morning,0
Saturday,Central,Afternoon,1
Sunday,Richmond,Afternoon,1
Saturday,Central,Late Night,1
Sunday,Out of SF,Late Night,0
Wednesday,Northern,Afternoon,1
Saturday,Out of SF,Afternoon,0
Friday,Mission,Night,0
Saturday,Northern,Late Night,0
Monday,Taraval,Morning,1
Friday,Northern,Morning,1
Saturday,Out of SF,Morning,0
Wednesday,Richmond,Night,0
Friday,Park,Afternoon,1
Sunday,Central,Evening,1
Tuesday,Out of SF,Afternoon,0
Sunday,Central,Night,1
Sunday,Northern,Late Night,1
Friday,Out of SF,Late Night,0
Saturday,Mission,Night,1
Saturday,Out of SF,Late Night,0
Tuesday,Central,Evening,1
Sunday,Out of SF,Morning,0
Thursday,Park,Evening,1
Friday,Park,Morning,1
Monday,Central,Afternoon,1
Wednesday,Central,Evening,1
Sunday,Ingleside,Evening,1
Sunday,Out of SF,Late Night,1
Friday,Northern,Afternoon,1
Wednesday,Out of SF,Morning,0
Friday,Out of SF,Morning,0
Sunday,Taraval,Night,1
Wednesday,Ingleside,Afternoon,0
Saturday,Park,Afternoon,1
Sunday,Mission,Late Night,1
Wednesday,Taraval,Night,1
Tuesday,Mission,Afternoon,1
Wednesday,Mission,Afternoon,0
Sunday,Out of SF,Night,1
Wednesday,Mission,Night,1
Friday,Central,Afternoon,1
Friday,Out of SF,Morning,0
Friday,Out of SF,Morning,1
Monday,Taraval,Afternoon,1
Saturday,Taraval,Afternoon,1
Monday,Central,Late Night,1
Thursday,Richmond,Afternoon,1
Friday,Taraval,Late Night,1
Thursday,Central,Morning,0
Monday,Mission,Evening,1
Sunday,Taraval,Late Night,0
Friday,Central,Afternoon,1
Wednesday,Out of SF,Afternoon,0
Saturday,Richmond,Afternoon,1
Friday,Out of SF,Morning,1
Monday,Southern,Evening,1
Saturday,Tenderloin,Late Night,1
Wednesday,Richmond,Evening,1
Sunday,Out of SF,Late Night,0
Sunday,Out of SF,Late Night,0
Thursday,Park,Morning,0
Friday,Out of SF,Night,0
Thursday,Northern,Night,1
Sunday,Out of SF,Morning,0
Monday,Bayview,Afternoon,0
Friday,Northern,Afternoon,1
Saturday,Central,Afternoon,1
Wednesday,Bayview,Night,0
Tuesday,Out of SF,Afternoon,0
Friday,Park,Afternoon,1
Thursday,Central,Afternoon,1
Friday,Out of SF,Afternoon,0
Wednesday,Mission,Afternoon,1
Sunday,Park,Late Night,1
Friday,Central,Afternoon,1
Friday,Northern,Afternoon,0
Friday,Southern,Afternoon,1
Monday,Tenderloin,Afternoon,1
Tuesday,Out of SF,Morning,0
Thursday,Out of SF,Afternoon,0
Friday,Out of SF,Night,0
Thursday,Out of SF,Afternoon,1
Tuesday,Southern,Afternoon,0
